id,numberKind,parentId,counts,bound,excludeReason,sourceLine,notes
abilene-onsite-gas-turbines-permit,btm_gen,,no,exact,unverified,"In Abilene, Stargate's developers have already built 10 gas-powered turbines and 62 backup diesel generators","btm_gen 360.5 MW (five 38 MW Titan 350 + five 34.1 MW LM2500). MW primary: TCEQ Standard Permit Registration 177263 modification technical review (https://records.tceq.texas.gov/cs/idcplg?IdcService=TCEQ_EXTERNAL_SEARCH_GET_FILE&Rendition=Web&dID=8600163), ""generate power for onsite use only"". Live capacityMW is 360 (rounded); value change 360 to 360.5 listed as optional. Status evidence is SECONDARY: Texas Tribune/Floodlight 9 Jul 2026 (https://www.texastribune.org/2026/07/09/texas-data-centers-ai-power-plants-pollution-state-permits/): ""Stargate's developers have already built 10 gas-powered turbines""; caption says one turbine ""in operation"" in late March. TCEQ primary search 2026-09-24: no start-of-operation or start-of-construction notice found for 177263. Found only the Jan 2025 modification review, a 24 Jun 2025 change-of-ownership filing, and a Title V statement of basis prepared 15 Oct 2025 (37589sob.pdf) that describes full buildout and gives no operation date. Live status stays construction (Hypergrid). Energized/COD empty. counts=no, excludeReason unverified (Energy GUY 11:33 PT: news report is not a primary; same bar as Crusoe 900). Flips to counts=yes, and to operational if a start date is given, on any of: TCEQ emissions inventory or start-of-operation notice for 177263; ERCOT resource registration; EPA emissions monitoring data; developer statement that the turbines run. MW 360.5 from TCEQ (value change 360 to 360.5 now required). Kate: nobody says ""Abilene 360.5 MW on-site""."
alibaba-clean-energy-2030,program,,no,exact,,"In its first carbon neutrality report, Alibaba pledged to reach carbon neutrality in its own operations by 2030 and to scale clean energy across Alibaba...",Corporate renewable / carbon pledge with no project MW. Treated as program/framework. Never counts. Announced (counts=no).
alibaba-zhangbei-renewable,it_capacity,,no,exact,remove_candidate,"Alibaba Cloud's Zhangbei data center cluster in Hebei is sited in a wind and solar resource zone and uses natural free-cooling plus local renewables, an...",REMOVE-CANDIDATE lean: cited blog soft 404; 200 MW not on primary. Counts=no.
aligned-phoenix-shippingport-dc-2000,it_capacity,,yes,exact,,"Aligned Data Centers broke ground on Project Phoenix, a 2,000 MW landlord campus in Shippingport, Pennsylvania. The end tenant is unnamed. The figure is...",Project Phoenix 2 GW DC campus. Construction.
alphabet-intersect-power-acquisition-4-75b,unresolved,,no,exact,,Alphabet announced a definitive agreement to acquire clean energy and data center infrastructure developer Intersect Power for about $4.75 billion in cash...,"capex only, MW null. unresolved. counts=no."
amazon-cascade-12-units-2025,offtake_new,,no,exact,,option to expand to 12 units with a capacity of 960 MW,"Full licensed Cascade buildout (12 Xe-100 modules, 960 MW). Parent of the 320 MW first phase. Announced. Contract date: no source. COD: no source."
amazon-dominion-north-anna-smr,offtake_new,,no,at_least,,at least 300 MW,MOU to explore at least 300 MW SMR. Exploratory. Bound at_least. Contract date: no source. COD: no source.
amazon-energy-northwest-cascade-smr,offtake_new,amazon-cascade-12-units-2025,no,exact,,"four SMRs in the first phase of Cascade, with an initial capacity of 320 MW and the option to expand to 12 units with a capacity of 960 MW",Cascade finding: 320 MW is phase 1 of the 960 MW Cascade plant (4 of 12 Xe-100 modules). parentId set. Announced. Primary: aboutamazon.com/news/sustainability/amazon-smr-nuclear-energy. Contract date: no source. COD: no source.
amazon-engie-moray-west-offshore-wind,offtake_new,,yes,exact,,"Amazon signed a corporate PPA with ENGIE for 473 MW of output from Ocean Winds' 882 MW Moray West offshore wind farm in Scotland, more than half the...",offtake_new 473 MW of Moray West 882 MW offshore wind. Contract signed 30 Jan 2024 (ENGIE newsroom https://en.newsroom.engie.com/news/amazon-signs-agreement-with-engie-to-procure-473mw-of-renewable-energy-from-the-moray-west-offshore-wind-farm-in-scotland-314df.html) while plant still under construction. First power 3 Jul 2024; full COD 2025 (Ocean Winds). Rule: signed before COD => offtake_new. Plant now operating; counts=yes.
amazon-gw-ranch-gas-5000,btm_gen,,no,exact,,"proposes construction of 35 natural gas-fired simple-cycle turbines at the GW Ranch Energy Center in Pecos County, with a nominal output of 5,000 megawatts (MW)","btm_gen 5,000 MW (PENDING APPEND). counts=no (announced/permit). No ERCOT GIS Aug 2026 entry; TCEQ tech review: will not be capable of selling or receiving from local utility; Pacifico off-grid page. Source: 2026-09-24-ercot-queue-check-matador-gwranch.md. Not Amazon IT."
amazon-iberdrola-east-anglia-three,offtake_new,,no,exact,,"Amazon signed a power purchase agreement for 159 MW from Iberdrola's 1.4 GW East Anglia THREE offshore wind farm off the coast of Suffolk, equivalent to...",East Anglia THREE offshore wind PPA 159 MW. ppa/matching; counts=no unless construction/operational firm rule applies. Contract date: no source. COD: no source.
amazon-largest-renewable-buyer-portfolio,program,,no,exact,,"Amazon was named the world's largest corporate buyer of renewable energy for a fifth consecutive year based on BloombergNEF data, backing more than 600 wind...",Corporate renewable / carbon pledge with no project MW. Treated as program/framework. Never counts.
