id,actor,site,province,city,lat,lon,kind,capacityMW,bound,status,sourceUrl,sourceGrade,quote,date,verdict,reason
range-langfang-200mw-it,"Range Intelligent (Runze, 300442.SZ)","Langfang campus B zone, single-building intelligent computing center",Hebei,Langfang,,,it_capacity,200,exact,construction,http://static.cninfo.com.cn/finalpage/2025-04-24/1223249829.PDF,primary,"建设了平湖园区单体100MW和廊坊园区单体200MW两栋新一代智算中心，预计2025年完成投运。 English: Built a Pinghu-campus 100 MW single building and a Langfang-campus 200 MW single building, expected to enter service in 2025. Later 2025 annual report: 加快推进行业首例单体200MW智算中心建设。 English: Accelerating construction of the industry's first single-building 200 MW intelligent computing center.",2025-04-24,APPEND,"Primary annual report shows the Langfang 200 MW building under construction, and the following year's report still describes that 200 MW building as being built rather than delivered. A separate design sentence, IT功率超200MW, is a capability slogan and is not used as a higher number. Not on the Atlas."
range-pinghu-100mw-it,"Range Intelligent (Runze, 300442.SZ)","Pinghu campus, single-building intelligent computing center",Zhejiang,Pinghu,,,it_capacity,100,exact,operating,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/5efd2a2b-c268-4586-9f8e-76eb701fef3e.PDF,primary,"2025年度公司新增交付算力规模约220MW，其中包含行业首例单体100MW超大规模智算中心。 English: In 2025 the company newly delivered about 220 MW of computing-center capacity, including the industry's first single-building 100 MW hyperscale intelligent computing center. The 2024 annual report names the building: 建设了平湖园区单体100MW和廊坊园区单体200MW两栋新一代智算中心，预计2025年完成投运。 English: It built a 100 MW single building at the Pinghu campus and a 200 MW single building at the Langfang campus, expected to enter service in 2025.",2026-04-10,APPEND,"SZSE 2025 annual report states the 100 MW single building was delivered in 2025. The 2024 SZSE annual report is the document that places that 100 MW building at Pinghu. Delivered IT-style compute capacity, not a rack or PFLOPS conversion. Not on the Atlas. The same paragraph's about 220 MW is a multi-campus delivery total and is not a second site."
tencent-dc-onsite-renewable-63-8mw,Tencent,"Renewable energy facilities at Tencent data centres, company total",,,,,btm_gen,63.8,exact,operating,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0408/2025040800679.pdf,primary,"By the end of 2024, the total installed capacity of Tencent's data centres' renewable energy facilities had reached 63.8 MW, representing an increase of 22.2% compared to 2023. English: same. 截至2024年底，腾讯数据中心可再生能源设施总装机容量达63.8兆瓦。",2024-12-31,APPEND,"HKEX 2024 ESG report states installed renewable capacity at Tencent data centres. This is on-site generation, not IT load. It does not replace the dead carbon-neutrality article and it is not a Qingyuan, Huailai, Chongqing, Tianjin, or Gui'an IT figure. Those campuses remain on the directory without a primary IT MW."
vnet-greater-beijing-578mw,VNET Group (21Vianet),Greater Beijing Area wholesale self-built portfolio,,,,,it_capacity,578,exact,operating,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,primary,"The table below sets forth our portfolio of self-built capacity in service from wholesale IDC business as of December 31, 2025. Greater Beijing Area: Capacity in service (MW) 578, Percentage of Contribution 65.0%. English: same.",2025-12-31,APPEND,"SEC Form 20-F states 578 MW wholesale capacity in service in Greater Beijing as of 31 Dec 2025. Portfolio, not one campus. Retail cabinets in the same filing are not converted to MW. Existing Atlas pins for VNET Beijing M6 and Shanghai Waigaoqiao have null MW and are not this total."
vnet-wholesale-construction-452mw,VNET Group (21Vianet),"Wholesale IDC capacity under construction, China portfolio",,,,,it_capacity,452,exact,construction,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,primary,"Capacity under construction 452 [MW]. English: Wholesale IDC capacity under construction was 452 MW as of December 31, 2025. Capacity pre-committed 156 MW.",2025-12-31,APPEND,"The 20-F table lists 452 MW under construction, separate from 889 MW already in service. Pre-committed 156 MW is a subset of the 452 and is not added. No city is named."
vnet-yangtze-311mw,VNET Group (21Vianet),Yangtze River Delta wholesale self-built portfolio,,,,,it_capacity,311,exact,operating,https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,primary,"Yangtze River Delta: Capacity in service (MW) 311, Percentage of Contribution 35.0%. Total 889. English: same. As of December 31, 2025.",2025-12-31,APPEND,"SEC Form 20-F states 311 MW wholesale capacity in service in the Yangtze River Delta. Portfolio, not one campus. 578 plus 311 equals the 889 MW national total, so the national total is not a separate row to add."
alibaba-380b-rmb-ai-infra,Alibaba Cloud,Group cloud and AI infrastructure plan,,Hangzhou,,,program,,exact,announced,https://www.sec.gov/Archives/edgar/data/1577552/000110465925016348/tm257405d1_ex99-1.htm,primary,Alibaba Group Holding Limited announced plans to invest at least RMB380 billion (US$53 billion) over the next three years to advance its cloud computing and AI infrastructure. English: same. 至少投资3800亿元人民币。,2025-02-24,HOLD,"SEC Form 6-K exhibit. Investment renminbi, not megawatts. No Zhangbei, Ulanqab, Heyuan, Nantong, or Hangzhou IT MW is in this release. Announced spend only."
alibaba-linping-expected-load,Alibaba Cloud,"Alibaba Zhejiang cloud computing data center, Linping New City",Zhejiang,"Hangzhou, Linping District, Xingqiao",,,utility_load,197,approx_filing,announced,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web3765/site/attach/0/98d7064819974989a83ad04e11600768.pdf,primary,"建成后形成年运行20万台服务器数据中心...计划2024年建成投产。...合计用电设备总容量217MW，预计总用电负荷为197MW。 English: After completion it would run 200,000 servers a year and was planned to enter production in 2024. Total installed electrical equipment capacity 217 MW, expected total electrical load 197 MW. Substation: 本期主变容量4×100MVA. The substation EIA marks 是否开工建设 as 否.",2024-04,HOLD,"EIA states expected facility electrical load and equipment capacity, not IT load. 200,000 servers are not converted. 4 x 100 MVA is not MW. As of this April 2024 EIA the substation had not started construction. No later primary in this pass shows the 197 MW load operating."
bytedance-ulanqab-5-6gw,ByteDance / Volcano Engine,"Ulanqab, Jining District, reported new build",Inner Mongolia,Ulanqab,,,it_capacity,,up_to,announced,https://www.scmp.com/tech/big-tech/article/3366220/bytedance-expand-massive-ai-data-centre-cluster-inner-mongolia,secondary,"Press synthesis of SCMP, 3 Sep 2026: ByteDance is in preliminary talks to add 5 to 6 GW of data-center capacity in Ulanqab, aiming for early 2028. English paraphrase of secondary coverage. No company or government primary with an MW figure was found in this pass.",2026-09-03,HOLD,"Secondary press, unnamed sources, a range, and talks rather than construction. Investment yuan implied by analyst notes is not MW. Existing Atlas rows already cover ByteDance Zhangjiakou, Datong, and Wuhu without a primary MW to add. Goldman figures for Ulanqab cluster-wide GW are analyst notes and are not used."
chinatelecom-qingyang-yunchuang-15mw,China Telecom,Qingyang Yunchuang campus,Gansu,Qingyang,,,it_capacity,15,exact,operating,https://zgqingyang.gov.cn/zw/bmdt/content_341478,primary,"云创园区占地14亩，建设数据机楼一栋，可安装15兆瓦的机架6500个，目前，机架上架率99%以上。 English: The Yunchuang campus covers 14 mu, with one data building that can hold 15 MW of racks, 6,500 racks, and rack occupancy is above 99 percent.",2025-08-22,HOLD,"Qingyang municipal government news quotes a China Telecom manager. 可安装 is installable rack capacity, not a metered IT load in an EIA or filing. The article is promotional. The Atlas already has Qingyang Telecom rows with null MW. A separate sentence in the same article, 规划的IT能力在18兆瓦到20兆瓦之间, is a planned range for a different 500-mu campus still being built and is not used as a firm MW."
