id,actor,site,province,city,lat,lon,kind,capacityMW,bound,status,sourceUrl,sourceGrade,quote,date,verdict,reason
ceec-zhongwei-phase1,CEEC Green Digital Technology (Zhongwei),Ningxia Zhongwei East Data West Computing hub smart green data center phase 1,Ningxia,Zhongwei,,,it_capacity,,,permitted,https://gxt.nx.gov.cn/zwgk/fdzdgknr/zdlygk/gyjn/202410/t20241008_4685007.html,primary,原则同意该项目通过节能审查。二、（能耗数据略）。 / The energy-saving review is agreed in principle. Energy-consumption figures are omitted from the public copy.,2024-09-27,APPEND,"Ningxia Industry and IT energy-saving review for a CEEC data center that is not on the Atlas. Public text redacts the energy data, so MW stays blank. Permit only, not construction. Not China Mobile Zhongwei."
chinatelecom-gba-ii,China Telecom Guangdong,China Telecom Guangdong-Hong Kong-Macao Greater Bay Area integrated data center project (II),Guangdong,Shaoguan,,,it_capacity,,,permitted,https://drc.gd.gov.cn/gdsnyj/gkmlpt/content/4/4661/post_4661481.html,primary,"建设3栋数据中心、3栋智算中心、3栋动力中心，项目建设机架8286个，折合标准机架58253个。……年综合能耗不高于177161吨标准煤（当量值），其中年电力消耗量不高于143329万千瓦时；项目PUE值不高于1.249。 / Three data center buildings, three intelligent-computing buildings, three power buildings, 8,286 racks, 58,253 standard racks. Annual energy not above 177,161 tonnes of coal equivalent, of which annual electricity not above 1,433.29 million kWh. PUE not above 1.249.",2025-01-24,APPEND,"Guangdong Energy Bureau Yue Energy Permit [2025] No. 11. The letter tells the builder to file the energy acceptance with Shaoguan DRC, which places the project in Shaoguan. Distinct from the Atlas cluster rollup. Racks and kWh are not MW. Permit only."
datang-zhongwei-500mw-pv,Datang Zhongwei New Energy (大唐中卫新能源有限公司),"Zhongwei cloud base data center green power 500 MW source-grid-load-storage PV project, 330 kV step-up station, Dongyuan Town",Ningxia,Zhongwei (Shapotou),,,grid_gen_for_dc,500,exact,permitted,https://fzggw.nx.gov.cn/zwgk/zwgkml/xzspsx/202410/t20241030_4712918.html,primary,"为满足大唐中卫云基地数据中心2GW绿电供应项目送出需要，现同意建设大唐中卫云基地数据中心绿电供应500MW源网荷储光伏项目新建330kV升压站及送出线路。 / To meet the export need of the Datang Zhongwei cloud-base data center 2 GW green-power supply project, construction of the new 330 kV step-up station and outgoing line for the 500 MW source-grid-load-storage PV project is approved.",2024-10-29,APPEND,"Primary Ningxia DRC approval names 500 MW of PV built to supply the Zhongwei cloud-base data centers. Cited State Grid Ningxia review Ningdian Development [2024] No. 611 also says 500 MW. The approved works are the station (2 x 250 MVA) and a 0.52 km line, and the letter bars start until EIA and safety permits exist. Status stays permitted. The 2 GW phrase is a separate envelope row. May 2026 commissioning reports are secondary reprints and are not used."
ordos-jiale-cloud,Inner Mongolia Jiale Data Technology,"Industrial internet industry cloud, Dongsheng equipment manufacturing base, northwest of plot F-04-01",Inner Mongolia,Ordos (Dongsheng),,,it_capacity,,,permitted,http://ordos.gov.cn/ordosml/ordoszf/bmwj/sfzhggwyh_n/202309/t20230906_3483856.html,primary,"项目建成后，年综合能源消费量当量值6826.17吨标准煤，等价值17051.54吨标准煤……产品能耗指标数据中心使用效率EEUE：1.18。 / After completion, annual energy use is 6,826.17 tce on a calorific basis and 17,051.54 tce on a coal-equivalent basis. Data center energy-use effectiveness EEUE is 1.18.",2023-05-29,APPEND,"Ordos DRC document E Fa Gai Huan Zi Fa [2023] No. 114. Small permitted data center, not the Chindata Ordos row. Coal-equivalent tonnes and the RMB 120 million investment are not MW. Plot description is not a coordinate."
qingyang-cecc-200mw-renewables,CEEC Green Digital Technology (Qingyang),Gansu Qingyang East Data West Computing source-grid-load-storage zero-carbon big-data park,Gansu,Qingyang,,,grid_gen_for_dc,200,exact,announced,https://www.nda.gov.cn/sjj/ywpd/szkjyjcss/1222/20240926133451065388117_pc.html,primary,"以风光发电为清洁电力来源，建设20万千瓦容量的风电和光伏设施……以虚拟专线供电的形式满足整体园区90%以上的可再生能源电力供应。 / Using wind and solar as the clean source, build 200 MW of wind and PV, and meet more than 90 percent of the park's power with renewables in the form of a virtual dedicated line.",2024-09-25,APPEND,"National Data Administration published case, recommended by Gansu DRC. 200 MW is generation for the park, not IT load, and the supply path is a virtual line rather than a metered on-site plant. The page is a selected promotional case, so status stays announced. Do not add the secondary 60 MW IT figure or call the halls operating from this page."
tencent-shaoguan-zhenjiang,Shaoguan Tencent Digital (韶关市腾讯数码有限公司),Tencent Shaoguan Zhenjiang computing center,Guangdong,Shaoguan,,,it_capacity,,,permitted,http://drc.gd.gov.cn/snyj/tzgg/content/post_4519024.html,primary,"建设4320个平均功率为17.36KW的机架（折合29998个标准机架）……年综合能源消费量不高于90354吨标准煤（当量值），其中年电力消耗量不高于73392万千瓦时；项目PUE值不高于1.235。 / Build 4,320 racks with average power 17.36 kW (29,998 standard racks). Annual energy use not above 90,354 tonnes of coal equivalent, of which annual electricity not above 733.92 million kWh. PUE not above 1.235.",2024-11-07,APPEND,"Guangdong Energy Bureau energy-saving review Yue Energy Permit [2024] No. 81. New project, not the generic Shaoguan cluster row. Annual kWh, standard racks, and average kW per rack are recorded as stated and are not converted to MW. A review is a permit, not construction."
xiyun-suanli-zhongwei-phase1,Ningxia West Cloud Computing Technology (宁夏西云算力科技有限公司),Ningxia intelligent computing center phase 1,Ningxia,Zhongwei,,,it_capacity,,,permitted,https://www.nxzw.gov.cn/zwgk/bmxxgkml/sgyhxxhj/fdzdgknr_49315/jnsc/202411/t20241113_4725457.html,primary,同意该项目通过节能审查，本审查意见有效期两年，自印发之日起计算。二、（能耗数据略）。 / The project passes energy-saving review. The opinion is valid for two years from the issue date. Energy figures are omitted.,2024-11-12,APPEND,"Zhongwei Industry and IT Bureau Wei Industry IT Energy Review [2024] No. 4. Legal name is 西云算力, not the AWS operator 西云数据科技 (NWCD), so it is not merged with cn-zhongwei-aws-ningxia. Energy data redacted. Permit only."
bocom-horinger-110kv,Bank of Communications Inner Mongolia Branch,"Bank of Communications Horinger New Area data center phase 1, 110 kV substation",Inner Mongolia,Hohhot (Horinger New Area),,,it_capacity,,,permitted,http://sthjj.huhhot.gov.cn/ywgz/hjyxpj/xmslqk/202508/t20250828_1926484.html,primary,"项目名称: 交通银行和林格尔新区数据中心一期110kv变电站。建设地点：内蒙古呼和浩特市和林格尔新区。 / Project name: Bank of Communications Horinger New Area data center phase 1 110 kV substation. Location: Horinger New Area, Hohhot.",2025-08-28,HOLD,"EIA acceptance notice only. No load, no MVA, no IT MW. Acceptance of an EIA file is not construction. The data center itself is not given a capacity."
chinamobile-zhongwei-202-332,China Mobile,"China Mobile (Ningxia Zhongwei) data center, B park and full campus",Ningxia,Zhongwei,,,it_capacity,332,,announced,https://xbj.nea.gov.cn/dtyw/hyxx/202606/t20260626_303639.html,secondary,"该园区B园区投产IT总功率达202兆瓦……投产IT总功率达到332兆瓦，折合标准机架13.28万架。 / B park IT power in service reaches 202 MW. Campus IT power in service reaches 332 MW, equal to 132,800 standard racks.",2026-06-26,HOLD,"Page is on the NEA Northwest Bureau site but the body credits Polaris Power. Facility is already cn-zhongwei-china-mobile. 202 MW is a subset of 332 MW, so only the campus total is in capacityMW and 202 MW stays in the quote. Not counted."
cnpc-horinger-110kv,CNPC Shared Operations Hohhot Data Branch,"CNPC Horinger data center phase 1, 110 kV substation, Cloud Valley area",Inner Mongolia,Hohhot (Horinger New Area),,,it_capacity,,,announced,http://www.helin.gov.cn/ywdt/tzgg/202608/t20260827_2032362.html,primary,本工程新建一座110kV全户内变电站，建设2×50MVA变压器……项目建设时间：2027年3月-2027年12月。 / This works is a new fully indoor 110 kV substation with 2 x 50 MVA transformers. Construction window: March 2027 to December 2027.,2026-08-27,HOLD,"County disclosure is a social-stability notice posted by the project company. 2 x 50 MVA is transformer capacity, not IT load and not generation. A future window in a consultation notice is not construction. No IT MW."
